"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2025","22,191.05","22,115.60","22,237.00","22,101.00","4.74M","-0.31%"
"03-03-2025","22,259.80","22,341.00","22,376.00","22,140.05","6.70M","-0.09%"
"28-02-2025","22,280.05","22,532.40","22,574.75","22,233.35","9.18M","-1.18%"
"27-02-2025","22,545.05","22,580.00","22,605.05","22,530.20","7.25M","-0.16%"
"25-02-2025","22,582.15","22,582.20","22,646.00","22,561.30","7.12M","-0.13%"
"24-02-2025","22,612.65","22,674.70","22,720.15","22,572.15","7.97M","-1.53%"
"21-02-2025","22,963.05","23,073.20","23,081.50","22,900.00","2.19M","-0.52%"
"20-02-2025","23,083.35","22,911.00","23,100.30","22,898.35","1.12M","-0.07%"
"19-02-2025","23,099.80","23,080.95","23,237.95","23,012.95","861.68K","-0.01%"
"18-02-2025","23,101.35","23,142.70","23,150.00","22,977.20","777.68K","-0.26%"
"17-02-2025","23,162.05","23,050.15","23,185.00","22,962.20","765.60K","0.14%"
"14-02-2025","23,129.05","23,299.00","23,344.00","22,982.30","921.38K","-0.49%"
"13-02-2025","23,242.20","23,290.00","23,442.00","23,207.55","602.48K","-0.10%"
"12-02-2025","23,265.80","23,283.80","23,375.00","23,040.00","846.83K","-0.12%"
"11-02-2025","23,293.80","23,568.40","23,594.60","23,203.50","675.00K","-1.34%"
"10-02-2025","23,610.60","23,746.00","23,752.10","23,540.00","366.53K","-0.65%"
"07-02-2025","23,765.70","23,852.45","23,934.10","23,671.00","395.93K","-0.29%"
"06-02-2025","23,835.30","23,964.60","23,964.60","23,805.05","211.73K","-0.34%"
"05-02-2025","23,915.80","23,935.00","23,991.65","23,897.65","238.43K","-0.03%"
"04-02-2025","23,923.45","23,666.00","23,932.70","23,642.10","585.15K","1.45%"
"03-02-2025","23,581.25","23,575.00","23,595.00","23,451.00","342.23K","0.11%"
"01-02-2025","23,555.55","23,584.00","23,715.35","23,422.95","11.32M","-0.88%"
"31-01-2025","23,765.15","23,568.00","23,785.00","23,563.80","501.45K","1.48%"
"30-01-2025","23,418.30","23,310.70","23,458.80","23,269.05","7.86M","0.60%"
"29-01-2025","23,279.35","23,168.65","23,319.90","23,101.25","5.59M","0.77%"
"28-01-2025","23,101.25","23,099.95","23,279.90","22,986.35","5.96M","0.58%"
"27-01-2025","22,968.40","23,125.05","23,150.00","22,931.00","3.40M","-1.20%"
"24-01-2025","23,246.65","23,400.15","23,508.95","23,210.00","1.85M","-0.63%"
